01.10.1999	1,011
01.11.1999	1,029
01.12.1999	1,041
01.01.2000	1,046
01.02.2000	1,033
01.03.2000	1,020
01.04.2000	1,017
01.05.2000	1,021
01.06.2000	1,037
01.07.2000	0,999
01.08.2000	1,000
01.09.2000	1,026
01.10.2000	1,014
01.11.2000	1,004
01.12.2000	1,016
01.01.2001	1,015
01.02.2001	1,006
01.03.2001	1,006
01.04.2001	1,015
01.05.2001	1,004
01.06.2001	1,006
01.07.2001	0,983
01.08.2001	0,998
01.09.2001	1,004
01.10.2001	1,002
01.11.2001	1,005
01.12.2001	1,016
01.01.2002	1,010
01.02.2002	0,986
01.03.2002	0,993
01.04.2002	1,014
01.05.2002	0,997
01.06.2002	0,982
01.07.2002	0,985
01.08.2002	0,998
01.09.2002	1,002
01.10.2002	1,007
01.11.2002	1,007
01.12.2002	1,014
01.01.2003	1,015
01.02.2003	1,011
01.03.2003	1,011
01.04.2003	1,007
01.05.2003	1,000
01.06.2003	1,001
01.07.2003	0,999
01.08.2003	0,983
01.09.2003	1,006
01.10.2003	1,013
01.11.2003	1,019
01.12.2003	1,015
01.01.2004	1,014
01.02.2004	1,004
01.03.2004	1,004
01.04.2004	1,007
01.05.2004	1,007
01.06.2004	1,007
01.07.2004	1,000
01.08.2004	0,999
01.09.2004	1,013
01.10.2004	1,022
01.11.2004	1,016
01.12.2004	1,024
01.01.2005	1,017
01.02.2005	1,010
01.03.2005	1,016
01.04.2005	1,007
01.05.2005	1,006
01.06.2005	1,006
01.07.2005	1,003
01.08.2005	1,000
01.09.2005	1,004
01.10.2005	1,009
01.11.2005	1,012
01.12.2005	1,009
01.01.2006	1,012
01.02.2006	1,018
01.03.2006	0,997
01.04.2006	0,996
01.05.2006	1,005
01.06.2006	1,001
01.07.2006	1,009
01.08.2006	1,000
01.09.2006	1,020
01.10.2006	1,026
01.11.2006	1,018
01.12.2006	1,009
01.01.2007	1,005
01.02.2007	1,006
01.03.2007	1,002
01.04.2007	1,000
01.05.2007	1,006
01.06.2007	1,022
01.07.2007	1,014
01.08.2007	1,006
01.09.2007	1,022
01.10.2007	1,029
01.11.2007	1,022
01.12.2007	1,021
01.01.2008	1,029
01.02.2008	1,027
01.03.2008	1,038
01.04.2008	1,031
01.05.2008	1,013
01.06.2008	1,008
01.07.2008	0,995
01.08.2008	0,999
01.09.2008	1,011
01.10.2008	1,017
01.11.2008	1,015
01.12.2008	1,021
01.01.2009	1,029
01.02.2009	1,015
01.03.2009	1,014
01.04.2009	1,009
01.05.2009	1,005
01.06.2009	1,011
01.07.2009	0,999
01.08.2009	0,998
01.09.2009	1,008
01.10.2009	1,009
01.11.2009	1,011
01.12.2009	1,009
01.01.2010	1,018
01.02.2010	1,019
01.03.2010	1,009
01.04.2010	0,997
01.05.2010	0,994
01.06.2010	0,996
01.07.2010	0,998
01.08.2010	1,012
01.09.2010	1,029
01.10.2010	1,005
01.11.2010	1,003
01.12.2010	1,008
01.01.2011	1,010
01.02.2011	1,009
01.03.2011	1,014
01.04.2011	1,013
01.05.2011	1,008
01.06.2011	1,004
01.07.2011	0,987
01.08.2011	0,996
01.09.2011	1,001
01.10.2011	1,000
01.11.2011	1,001
01.12.2011	1,002
01.01.2012	1,002
01.02.2012	1,002
01.03.2012	1,003
01.04.2012	1,000
01.05.2012	0,997
01.06.2012	0,997
01.07.2012	0,998
01.08.2012	0,997
01.09.2012	1,001
01.10.2012	1,000
01.11.2012	0,999
01.12.2012	1,002
01.01.2013	1,002
01.02.2013	0,999
01.03.2013	1,000
01.04.2013	1,000
01.05.2013	1,001
01.06.2013	1,000
01.07.2013	0,999
01.08.2013	0,993
01.09.2013	1,000
01.10.2013	1,004
01.11.2013	1,002
01.12.2013	1,005
01.01.2014	1,002
01.02.2014	1,006
01.03.2014	1,022
01.04.2014	1,033
01.05.2014	1,038
01.06.2014	1,010
01.07.2014	1,004
01.08.2014	1,008
01.09.2014	1,029
01.10.2014	1,024
01.11.2014	1,019
01.12.2014	1,030
01.01.2015	1,031
01.02.2015	1,053
01.03.2015	1,108
01.04.2015	1,140
01.05.2015	1,022
01.06.2015	1,004

01.08.2015	0,992
01.09.2015	1,023
01.10.2015	0,987
01.11.2015	1,020
01.12.2015	1,007
